disaster.event,user.anon,date,latitude,longitude.anon,user_date_freq,days
42_AuFire2,5636,2013/10/13,149.5597816,-31.55482547,1,6
42_AuFire2,5637,2013/10/11,151.1045078,-31.9876548,1,4
42_AuFire2,5638,2013/11/6,150.8448118,-31.72899531,31,30
42_AuFire2,5638,2013/11/7,150.8448118,-31.72899531,22,31
42_AuFire2,5638,2013/11/8,150.8448152,-31.72899481,12,32
42_AuFire2,5638,2013/11/9,150.8448116,-31.72899541,15,33
42_AuFire2,5639,2013/10/9,151.0003245,-31.95310135,1,2
42_AuFire2,5640,2013/10/9,150.9923601,-31.91704981,1,2
42_AuFire2,5640,2013/10/12,150.963,-31.94959684,1,5
42_AuFire2,5641,2013/10/23,151.1194825,-31.89151391,1,16
42_AuFire2,5642,2013/10/13,151.1975281,-31.99104847,1,6
42_AuFire2,5642,2013/10/16,151.1975012,-31.99096829,2,9
42_AuFire2,5642,2013/10/18,151.1974158,-31.99104104,1,11
42_AuFire2,5642,2013/10/19,151.1974382,-31.9911117,1,12
42_AuFire2,5642,2013/10/23,151.1974016,-31.99088283,1,16
42_AuFire2,5643,2013/10/29,151.0282697,-32.08758031,1,22
42_AuFire2,5644,2013/10/8,151.0178318,-31.74758201,4,1
42_AuFire2,5644,2013/10/9,151.1255802,-32.07053844,1,2
42_AuFire2,5644,2013/10/10,151.0055957,-31.79050388,1,3
42_AuFire2,5644,2013/10/13,151.144836,-32.03489165,8,6
42_AuFire2,5644,2013/10/14,151.0176144,-31.81087751,1,7
42_AuFire2,5644,2013/10/15,151.0176712,-31.74769487,3,8
42_AuFire2,5644,2013/10/17,151.0178145,-31.81069248,2,10
42_AuFire2,5644,2013/10/18,151.1975479,-31.98244775,2,11
42_AuFire2,5644,2013/10/21,151.0197984,-31.82547691,3,14
42_AuFire2,5644,2013/10/23,151.0177134,-31.74765066,2,16
42_AuFire2,5644,2013/10/24,151.0179197,-31.74779357,1,17
42_AuFire2,5644,2013/11/9,151.0177848,-31.74777634,1,33
42_AuFire2,5645,2013/10/11,151.0265793,-31.86986482,3,4
42_AuFire2,5646,2013/10/8,151.0936155,-31.98728617,10,1
42_AuFire2,5646,2013/10/10,151.0918731,-32.00264496,3,3
42_AuFire2,5646,2013/10/13,151.0917778,-32.00267919,1,6
42_AuFire2,5646,2013/10/15,151.0918569,-32.0026387,7,8
42_AuFire2,5646,2013/10/16,151.0918972,-32.00261099,1,9
42_AuFire2,5646,2013/10/17,151.0919008,-32.00260337,3,10
42_AuFire2,5647,2013/10/8,150.9797312,-31.96328679,11,1
42_AuFire2,5647,2013/10/9,150.9876433,-31.95974391,2,2
42_AuFire2,5647,2013/10/10,150.9870858,-31.95929537,4,3
42_AuFire2,5648,2013/10/28,151.1960665,-31.99616688,1,21
42_AuFire2,5649,2013/11/6,151.1336668,-32.08581976,1,30
42_AuFire2,5650,2013/11/8,151.006887,-31.93327413,1,32
42_AuFire2,5651,2013/10/8,151.1928646,-32.00768062,1,1
42_AuFire2,5651,2013/10/9,151.192795,-32.00744175,3,2
42_AuFire2,5651,2013/10/10,151.191696,-32.00544811,11,3
42_AuFire2,5651,2013/10/11,151.1891867,-32.00775281,1,4
42_AuFire2,5651,2013/10/12,151.1941942,-32.00314851,2,5
42_AuFire2,5651,2013/10/13,151.1890645,-32.00786031,7,6
42_AuFire2,5651,2013/10/17,151.1927299,-32.00735221,2,10
42_AuFire2,5651,2013/10/18,151.194373,-32.00690041,1,11
42_AuFire2,5651,2013/10/23,151.1827583,-32.00957902,1,16
42_AuFire2,5651,2013/10/26,151.1958535,-31.99986694,1,19
